,,,Frames,Time,Calcium,Diameter
FPS,3.902,,,,,
Frame Avg,2,,,,,
Hz,1.951,,,,,
# Frames,600,,,,,
s/frame,0.512,,,,,
Total time (s),307.2,,,,,
Total time (min),5.12,,,,,
Pixel res,256,,,,,
Zoom,2,,,,,
Pixels/um,0.855,,,,,
,,,267,136.33,-0.047675858,106.8050514
,,,268,136.84,0.03044175,110.4238387
,,,269,137.35,-0.072689106,109.2258482
,,,270,137.87,0.059703363,107.5572294
,,,271,138.38,-0.016983666,106.6672893
,,,272,138.89,-0.100129947,105.6215376
,,,273,139.4,-0.164462155,115.8037243
,,,274,139.92,-0.159260071,86.23115892
,,,275,140.43,-0.044641289,109.5275028
,,,276,140.94,-0.121111614,113.4434366
,,,277,141.45,0.016743016,89.88725382
,,,278,141.97,-0.088988922,92.81266081
,,,279,142.48,-0.12778757,79.49455116
,,,280,142.99,-0.141573049,104.6015193
,,,281,143.5,0.029184582,111.7132589
,,,282,144.02,0.017870146,84.28190799
,,,283,144.53,0.00187378,107.7416767
,,,284,145.04,-0.040132848,105.1986443
,,,285,145.55,-0.038138743,88.61598902
,,,286,146.07,-0.121588474,104.4459547
,,,287,146.58,0.140942206,96.24049017
,,,288,147.09,-0.049756707,108.1687693
,,,289,147.6,0.012061164,92.05959186
,,,290,148.12,-0.055348906,117.7866306
,,,291,148.63,-0.043080672,108.8673633
,,,292,149.14,0.04921253,104.2916251
,,,293,149.65,-0.090462794,110.6950843
,,,294,150.17,-0.049453258,103.638499
,,,295,150.68,-0.012865418,103.116298
,,,296,151.19,0.077867245,87.047163
,,,297,151.7,0.024676141,119.5762236
,,,298,152.22,0.047565247,96.90807534
,,,299,152.73,-0.012778674,98.75792159
